A,B,nA,nB,t,p,p_holm,sig_holm
RR,LR,243,253,-29.095187983693254,1.0631456251144849e-96,1.0631456251144849e-96,****
RR,RL,243,246,-75.30490943197135,3.247767977480292e-225,9.743303932440876e-225,****
RR,LL,243,272,-90.9727349843617,7.847257279435096e-308,4.7083543676610575e-307,****
LR,RL,253,246,-71.4723726195509,2.5502459183646536e-263,1.0200983673458614e-262,****
LR,LL,253,272,-87.62598664574783,3.437621011983999e-282,1.7188105059919995e-281,****
RL,LL,246,272,-33.97905861005827,3.1581063103524056e-126,6.316212620704811e-126,****
