A,B,nA,nB,t,p,p_holm,sig_holm
RR,LR,243,253,2.6128946744256014,0.009252542867266298,0.05551525720359779,ns
RR,RL,243,246,2.4747682730224496,0.01367675966310344,0.0683837983155172,ns
RR,LL,243,272,0.9279932619758707,0.35384932134164504,0.7076986426832901,ns
LR,RL,253,246,-0.06905872947380884,0.9449707494747809,0.9449707494747809,ns
LR,LL,253,272,-1.7341230543097388,0.08349494986840128,0.3339797994736051,ns
RL,LL,246,272,-1.6177461507333715,0.106349740332011,0.3339797994736051,ns
